,Date,bert_scores,Open,High,Low,Close,Adj Close,Volume,windowSize_2,windowSize_3,week_1,week_2
831,2017-10-03,0.0,9893.299805,9895.400391,9831.049805,9859.5,9859.5,162800.0,0.2857142857142857,0.2904761904761905,0.32857142857142857,0.25357142857142856
830,2017-10-04,0.5714285714285714,9884.349609,9938.299805,9850.650391,9914.900391,9914.900391,156200.0,0.4357142857142857,0.4571428571428571,0.32857142857142857,0.18214285714285716
829,2017-10-05,0.3,9927.0,9945.950195,9881.849609,9888.700195,9888.700195,147800.0,0.4,0.43333333333333335,0.2826530612244898,0.1413265306122449
828,2017-10-09,0.5,9988.200195,10015.75,9959.450195,9988.75,9988.75,143900.0,0.5,0.4761904761904762,0.3112244897959184,0.13775510204081634
827,2017-10-10,0.5,10013.700195,10034.0,10002.299805,10016.950195,10016.950195,148600.0,0.4642857142857143,0.30952380952380953,0.23979591836734696,0.14965986394557826
826,2017-10-11,0.42857142857142855,10042.599609,10067.25,9955.799805,9984.799805,9984.799805,189700.0,0.21428571428571427,0.14285714285714285,0.23979591836734696,0.14965986394557826
825,2017-10-12,0.0,10011.200195,10104.450195,9977.099609,10096.400391,10096.400391,200900.0,0.0,0.08333333333333333,0.17857142857142858,0.15476190476190474
824,2017-10-13,0.0,10123.700195,10191.900391,10120.099609,10167.450195,10167.450195,230100.0,0.125,0.25,0.17857142857142858,0.19047619047619047
823,2017-10-16,0.25,10207.400391,10242.950195,10175.099609,10230.849609,10230.849609,203000.0,0.375,0.25,0.03571428571428571,0.19047619047619047
822,2017-10-17,0.5,10227.650391,10251.849609,10212.599609,10234.450195,10234.450195,195700.0,0.25,0.3333333333333333,0.0,0.17261904761904762
821,2017-10-18,0.0,10209.400391,10236.450195,10175.75,10210.849609,10210.849609,254200.0,0.25,0.16666666666666666,-0.03571428571428571,0.1369047619047619
820,2017-10-24,0.5,10218.549805,10237.75,10182.400391,10207.700195,10207.700195,217200.0,0.25,0.16666666666666666,0.05952380952380953,0.1369047619047619
819,2017-10-25,0.0,10321.150391,10340.549805,10240.900391,10295.349609,10295.349609,594200.0,0.0,-0.3333333333333333,0.05952380952380953,0.17261904761904762
818,2017-10-30,0.0,10353.849609,10384.5,10344.299805,10363.650391,10363.650391,236900.0,-0.5,-0.3333333333333333,0.13095238095238096,0.2083333333333333
817,2017-10-31,-1.0,10364.900391,10367.700195,10323.950195,10335.299805,10335.299805,232600.0,-0.5,-0.25,0.2023809523809524,0.2083333333333333
816,2017-11-01,0.0,10390.349609,10451.650391,10383.049805,10440.5,10440.5,260300.0,0.125,0.3055555555555555,0.34523809523809523,0.35119047619047616
815,2017-11-02,0.25,10440.5,10453.0,10412.549805,10423.799805,10423.799805,201500.0,0.4583333333333333,0.4722222222222222,0.34523809523809523,0.35119047619047616
814,2017-11-03,0.6666666666666666,10461.549805,10461.700195,10403.599609,10452.5,10452.5,199900.0,0.5833333333333333,0.5555555555555555,0.3095238095238095,0.3571428571428571
813,2017-11-06,0.5,10431.75,10490.450195,10413.75,10451.799805,10451.799805,193600.0,0.5,0.5,0.21428571428571427,0.3095238095238095
812,2017-11-08,0.5,10361.950195,10384.25,10285.5,10303.150391,10303.150391,274500.0,0.5,0.3333333333333333,0.2857142857142857,0.3452380952380953
811,2017-11-10,0.5,10304.349609,10344.950195,10254.099609,10321.75,10321.75,279400.0,0.25,0.16666666666666666,0.2857142857142857,0.3095238095238096
810,2017-11-24,0.0,10366.799805,10404.5,10362.25,10389.700195,10389.700195,129200.0,0.0,0.0,0.21428571428571427,0.27380952380952384
809,2017-11-27,0.0,10361.049805,10407.150391,10340.200195,10399.549805,10399.549805,141900.0,0.0,0.0,0.35714285714285715,0.32142857142857145
808,2017-12-06,0.0,10088.799805,10104.200195,10033.349609,10044.099609,10044.099609,166100.0,0.0,0.3333333333333333,0.35714285714285715,0.35714285714285715
807,2017-12-13,0.0,10236.599609,10296.549805,10169.849609,10192.950195,10192.950195,181600.0,0.5,0.5,0.4047619047619048,0.33333333333333337
806,2017-12-18,1.0,10263.099609,10443.549805,10074.799805,10388.75,10388.75,230400.0,0.75,0.5,0.4047619047619048,0.33333333333333337
805,2017-12-20,0.5,10494.400391,10494.450195,10437.150391,10444.200195,10444.200195,175200.0,0.25,0.5,0.4047619047619047,0.2976190476190476
804,2017-12-21,0.0,10473.950195,10473.950195,10426.900391,10440.299805,10440.299805,151900.0,0.5,0.3333333333333333,0.3333333333333333,0.26190476190476186
803,2017-12-22,1.0,10457.299805,10501.099609,10448.25,10493.0,10493.0,138800.0,0.5,0.4444444444444444,0.3333333333333333,0.26190476190476186
802,2017-12-26,0.0,10512.299805,10545.450195,10477.950195,10531.5,10531.5,155600.0,0.16666666666666666,0.1111111111111111,0.2857142857142857,0.19047619047619047
