,Date
1015,09/22/16
1016,09/23/16
1017,09/26/16
1018,09/27/16
1019,09/28/16
1020,09/29/16
1021,09/30/16
1022,10/03/16
1023,10/04/16
1024,10/05/16
1025,10/06/16
1026,10/07/16
1027,10/10/16
1028,10/13/16
1029,10/14/16
1030,10/17/16
1031,10/18/16
1032,10/19/16
1033,10/20/16
1034,10/21/16
1035,10/24/16
1036,10/25/16
1037,10/26/16
1038,10/27/16
1039,10/28/16
1040,11/01/16
1041,11/02/16
1042,11/03/16
1043,11/04/16
1044,11/07/16
1045,11/08/16
1046,11/09/16
1047,11/10/16
1048,11/11/16
1049,11/15/16
1050,11/16/16
1051,11/17/16
1052,11/18/16
1053,11/21/16
1054,11/22/16
1055,11/23/16
1056,11/24/16
1057,11/25/16
1058,11/28/16
1059,11/29/16
1060,11/30/16
1061,12/01/16
1062,12/02/16
1063,12/05/16
1064,12/06/16
1065,12/07/16
1066,12/08/16
1067,12/09/16
1068,12/12/16
1069,12/13/16
1070,12/14/16
1071,12/15/16
1072,12/16/16
1073,12/19/16
1074,12/20/16
1075,12/21/16
1076,12/22/16
1077,12/23/16
1078,12/26/16
1079,12/27/16
1080,12/28/16
1081,12/29/16
1082,12/30/16
1083,01/02/17
1084,01/03/17
1085,01/04/17
1086,01/05/17
1087,01/06/17
1088,01/09/17
1089,01/10/17
1090,01/11/17
1091,01/12/17
1092,01/13/17
1093,01/16/17
1094,01/17/17
1095,01/18/17
1096,01/19/17
1097,01/20/17
1098,01/23/17
1099,01/24/17
1100,01/25/17
1101,01/27/17
1102,01/30/17
1103,01/31/17
1104,02/01/17
1105,02/02/17
1106,02/03/17
1107,02/06/17
1108,02/07/17
1109,02/08/17
1110,02/09/17
1111,02/10/17
1112,02/13/17
1113,02/14/17
1114,02/15/17
1115,02/16/17
1116,02/17/17
1117,02/20/17
1118,02/21/17
1119,02/22/17
1120,02/23/17
1121,02/27/17
1122,02/28/17
1123,03/01/17
1124,03/02/17
1125,03/03/17
1126,03/06/17
1127,03/07/17
1128,03/08/17
1129,03/09/17
1130,03/10/17
1131,03/14/17
1132,03/15/17
1133,03/16/17
1134,03/17/17
1135,03/20/17
1136,03/21/17
1137,03/22/17
1138,03/23/17
1139,03/24/17
1140,03/27/17
1141,03/28/17
1142,03/29/17
1143,03/30/17
1144,03/31/17
1145,04/03/17
1146,04/05/17
1147,04/06/17
1148,04/07/17
1149,04/10/17
1150,04/11/17
1151,04/12/17
1152,04/13/17
1153,04/17/17
1154,04/18/17
1155,04/19/17
1156,04/20/17
1157,04/21/17
1158,04/24/17
1159,04/25/17
1160,04/26/17
1161,04/27/17
1162,04/28/17
1163,05/02/17
1164,05/03/17
1165,05/04/17
1166,05/05/17
1167,05/08/17
